Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Cluster
1,2023-11-24,CUST001,1,34,0,3,50,2
2,2023-02-27,CUST002,0,26,1,2,500,4
3,2023-01-13,CUST003,1,50,2,1,30,5
4,2023-05-21,CUST004,1,37,1,1,500,4
5,2023-05-06,CUST005,1,30,0,2,50,0
6,2023-04-25,CUST006,0,45,0,1,30,5
7,2023-03-13,CUST007,1,46,1,2,25,5
8,2023-02-22,CUST008,1,30,2,4,25,2
9,2023-12-13,CUST009,1,63,2,2,300,3
10,2023-10-07,CUST010,0,52,1,4,50,7
11,2023-02-14,CUST011,1,23,1,2,50,0
12,2023-10-30,CUST012,1,35,0,3,25,2
13,2023-08-05,CUST013,1,22,2,3,500,6
14,2023-01-17,CUST014,1,64,1,4,30,7
15,2023-01-16,CUST015,0,42,2,4,500,1
16,2023-02-17,CUST016,1,19,1,3,500,6
17,2023-04-22,CUST017,0,27,1,4,25,2
18,2023-04-30,CUST018,0,47,2,2,25,5
19,2023-09-16,CUST019,0,62,1,2,25,5
20,2023-11-05,CUST020,1,22,1,3,300,6
21,2023-01-14,CUST021,0,50,0,1,500,3
22,2023-10-15,CUST022,1,18,1,2,50,0
23,2023-04-12,CUST023,0,35,1,4,30,2
24,2023-11-29,CUST024,0,49,1,1,300,3
25,2023-12-26,CUST025,0,64,0,1,50,5
26,2023-10-07,CUST026,0,28,2,2,500,4
27,2023-08-03,CUST027,0,38,0,2,25,0
28,2023-04-23,CUST028,0,43,0,1,500,3
29,2023-08-18,CUST029,0,42,2,1,30,5
30,2023-10-29,CUST030,0,39,0,3,300,6
31,2023-05-23,CUST031,1,44,2,4,300,1
32,2023-01-04,CUST032,1,30,0,3,30,2
33,2023-03-23,CUST033,0,50,2,2,50,5
34,2023-12-24,CUST034,0,51,1,3,50,7
35,2023-08-05,CUST035,0,58,0,3,300,1
36,2023-06-24,CUST036,1,52,0,3,300,1
37,2023-05-23,CUST037,0,18,0,3,25,2
38,2023-03-21,CUST038,1,38,0,4,50,2
39,2023-04-21,CUST039,1,23,1,4,30,2
40,2023-06-22,CUST040,1,45,0,1,50,5
41,2023-02-22,CUST041,1,34,1,2,25,0
42,2023-02-17,CUST042,1,22,1,3,300,6
43,2023-07-14,CUST043,0,48,1,1,300,3
44,2023-02-19,CUST044,0,22,1,1,25,0
45,2023-07-03,CUST045,0,55,2,1,30,5
46,2023-06-26,CUST046,0,20,2,4,300,6
47,2023-11-06,CUST047,0,40,0,3,500,1
48,2023-05-16,CUST048,1,54,2,3,300,1
49,2023-01-23,CUST049,0,54,2,2,500,3
50,2023-08-24,CUST050,0,27,0,3,25,2
51,2023-10-02,CUST051,1,27,0,3,25,2
52,2023-03-05,CUST052,0,36,0,1,300,4
53,2023-07-13,CUST053,1,34,2,2,50,0
54,2023-02-10,CUST054,0,38,2,3,500,6
55,2023-10-10,CUST055,1,31,0,4,30,2
56,2023-05-31,CUST056,0,26,1,3,300,6
57,2023-11-18,CUST057,0,63,0,1,30,5
58,2023-11-13,CUST058,1,18,1,4,300,6
59,2023-07-05,CUST059,1,62,1,1,50,5
60,2023-10-23,CUST060,1,30,0,3,50,2
61,2023-04-09,CUST061,1,21,0,4,50,2
62,2023-12-27,CUST062,1,18,0,2,50,0
63,2023-02-05,CUST063,1,57,2,2,25,5
